Start,End,Open,High,Low,Close,Volume,Market Cap
2023-08-22,2023-08-23,26134.05,26134.05,25593.79,26048.09,42755234002,5.05713E+11
2023-08-21,2023-08-22,26182.79,26201.86,25879.48,26123.45,38978466982,5.07348E+11
2023-08-20,2023-08-21,26085.18,26267.33,26002.03,26180,36240475699,5.08438E+11
2023-08-19,2023-08-20,26069.23,26253.26,25814.25,26090.63,47696260016,5.06053E+11
2023-08-18,2023-08-19,26659.85,26784.23,25721.53,26058.26,70328308014,5.11517E+11
2023-08-17,2023-08-18,28764.02,28768.44,25458.37,26610.04,48286038556,5.48348E+11
2023-08-16,2023-08-17,29201.98,29257.43,28736.49,28736.49,39558686299,5.66336E+11
2023-08-15,2023-08-16,29421.04,29454.28,29121.17,29200.8,43362507940,5.70572E+11
2023-08-14,2023-08-15,29295.94,29686.03,29162.07,29430.95,38918523577,5.7184E+11
2023-08-13,2023-08-14,29430.17,29466.51,29281.72,29285.11,30169752352,5.71528E+11
2023-08-12,2023-08-13,29420.67,29475.29,29353.95,29430.07,30429006968,5.72021E+11
2023-08-11,2023-08-12,29452.84,29542.01,29291.04,29426.01,35067135078,5.71913E+11
2023-08-10,2023-08-11,29576.05,29709.96,29379.58,29455.74,42737898229,5.73872E+11
2023-08-09,2023-08-10,29814.01,30071.63,29414.98,29596.9,47823578428,5.77777E+11
2023-08-08,2023-08-09,29214.05,30127.05,29128.81,29766.72,46312637280,5.72873E+11
2023-08-07,2023-08-08,29088.91,29276.77,28781.8,29206.01,39705097885,5.65611E+11
2023-08-06,2023-08-07,29065.05,29199.94,28980.12,29086.65,38738893401,5.65219E+11
2023-08-05,2023-08-06,29118.39,29142.06,28987.39,29074.55,37897861598,5.65042E+11
2023-08-04,2023-08-05,29215.74,29309.66,28926.04,29113.38,43122763841,5.67134E+11
2023-08-03,2023-08-04,29167.71,29398.24,29016.2,29198.33,49249971061,5.6762E+11
2023-08-02,2023-08-03,29760.35,29989.7,29011.99,29151.7,57837023392,5.7251E+11
2023-08-01,2023-08-02,29226.01,29629.24,28778.21,29629.24,41499233831,5.64247E+11
2023-07-31,2023-08-01,29285.32,29496.64,29134.91,29225.93,34497810903,5.7031E+11
